arm,true_grammar,impostor_id,surface_seed,frac,rotation_deg,degradation,degradation_param,wb_gain_bgr,boundaries_spanned,top_sheet,top_aggregate,verdict_001,aggregate_001,coverage_001,renormalised_001,verdict_002,aggregate_002,coverage_002,renormalised_002,ink002_agreement,ink002_agr_absolute,ink002_agr_relationship,ink002_gain_b,ink002_gain_g,ink002_gain_r,ink002_implied_b,ink002_implied_g,ink002_implied_r,ink002_gain_in_bounds,ink002_relationship_applicable,ink002_n_inks,ink002_n_clipped,ink002_rank_corr
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,3,bar-cascade-001,0.5471,candidate,0.5471,1.0,0.5471,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,2,bar-cascade-001,0.5071,candidate,0.5071,1.0,0.5071,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,3,bar-cascade-001,0.5573,candidate,0.5573,1.0,0.5573,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,2,bar-cascade-001,0.3531,not_recognised,0.3531,1.0,0.3531,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,2,bar-cascade-001,0.4409,candidate,0.4409,1.0,0.4409,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,2,bar-cascade-001,0.4545,candidate,0.4545,1.0,0.4545,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.4683,candidate,0.4683,1.0,0.4683,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.3548,not_recognised,0.3548,1.0,0.3548,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.4763,candidate,0.4763,1.0,0.4763,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.4833,candidate,0.4833,1.0,0.4833,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.5229,candidate,0.5229,1.0,0.5229,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.3833,not_recognised,0.3833,1.0,0.3833,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.5097,candidate,0.5097,1.0,0.5097,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.2,0.0,none,,,2,bar-cascade-001,0.5382,candidate,0.5382,1.0,0.5382,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,2,bar-cascade-001,0.5414,candidate,0.5414,1.0,0.5414,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,3,bar-cascade-001,0.7009,identified,0.7009,1.0,0.7009,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,3,bar-cascade-001,0.5464,candidate,0.5464,1.0,0.5464,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,3,bar-cascade-001,0.5079,candidate,0.5079,1.0,0.5079,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,3,bar-cascade-001,0.573,candidate,0.573,1.0,0.573,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,3,bar-cascade-001,0.6287,candidate,0.6287,1.0,0.6287,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,3,bar-cascade-001,0.5336,candidate,0.5336,1.0,0.5336,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.35,0.0,none,,,3,bar-cascade-001,0.5835,candidate,0.5835,1.0,0.5835,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,3,bar-cascade-001,0.7487,identified,0.7487,1.0,0.7487,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,3,bar-cascade-001,0.5936,candidate,0.5936,1.0,0.5936,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,3,bar-cascade-001,0.5786,candidate,0.5786,1.0,0.5786,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,3,bar-cascade-001,0.5392,candidate,0.5392,1.0,0.5392,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,3,bar-cascade-001,0.5891,candidate,0.5891,1.0,0.5891,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,3,bar-cascade-001,0.5915,candidate,0.5915,1.0,0.5915,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,3,bar-cascade-001,0.5974,candidate,0.5974,1.0,0.5974,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.35,0.0,none,,,2,bar-cascade-001,0.5566,candidate,0.5566,1.0,0.5566,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,2,bar-cascade-001,0.5224,candidate,0.5224,1.0,0.5224,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,3,bar-cascade-001,0.5609,candidate,0.5609,1.0,0.5609,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,3,bar-cascade-001,0.4384,candidate,0.4384,1.0,0.4384,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,3,bar-cascade-001,0.5639,candidate,0.5639,1.0,0.5639,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,2,bar-cascade-001,0.5372,candidate,0.5372,1.0,0.5372,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,2,bar-cascade-001,0.4536,candidate,0.4536,1.0,0.4536,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,2,bar-cascade-001,0.5038,candidate,0.5038,1.0,0.5038,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,2,0.35,0.0,none,,,2,bar-cascade-001,0.5236,candidate,0.5236,1.0,0.5236,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.5,0.0,none,,,4,bar-cascade-001,0.5912,candidate,0.5912,1.0,0.5912,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
